frame_cnt,latitude,longitude,altitude,yaw,pitch,roll,focal_len
145,36.402279,127.421531,84.243,122.8,-29.8,0.0,24.00
146,36.402279,127.421531,84.243,122.8,-29.8,0.0,24.00
147,36.402280,127.421532,84.243,123.2,-29.8,0.0,24.00
148,36.402280,127.421532,84.243,123.2,-29.8,0.0,24.00
149,36.402280,127.421532,84.243,123.2,-29.8,0.0,24.00
150,36.402280,127.421532,84.243,123.6,-29.8,0.0,24.00
151,36.402281,127.421533,84.243,123.6,-29.8,0.0,24.00
152,36.402281,127.421533,84.243,123.6,-29.8,0.0,24.00
153,36.402281,127.421533,84.243,124.0,-29.8,0.0,24.00
154,36.402281,127.421534,84.243,124.0,-29.8,0.0,24.00
155,36.402281,127.421534,84.243,124.0,-29.8,0.0,24.00
156,36.402281,127.421534,84.243,124.4,-29.8,0.0,24.00
157,36.402282,127.421534,84.243,124.4,-29.8,0.0,24.00
158,36.402282,127.421534,84.243,124.4,-29.8,0.0,24.00
159,36.402283,127.421535,84.244,124.8,-29.8,0.0,24.00
160,36.402283,127.421535,84.244,124.8,-29.8,0.0,24.00
161,36.402283,127.421535,84.244,124.8,-29.8,0.0,24.00
162,36.402283,127.421535,84.244,125.2,-29.8,0.0,24.00
163,36.402284,127.421536,84.244,125.2,-29.8,0.0,24.00
164,36.402284,127.421536,84.244,125.2,-29.8,0.0,24.00
165,36.402285,127.421537,84.244,125.6,-29.8,0.0,24.00
166,36.402285,127.421537,84.244,125.6,-29.8,0.0,24.00
167,36.402285,127.421537,84.244,125.6,-29.8,0.0,24.00
168,36.402286,127.421537,84.244,126.0,-29.8,0.0,24.00
169,36.402286,127.421537,84.244,126.0,-29.8,0.0,24.00
170,36.402286,127.421537,84.244,126.0,-29.8,0.0,24.00
171,36.402286,127.421537,84.244,126.4,-29.8,0.0,24.00
172,36.402287,127.421538,84.244,126.4,-29.8,0.0,24.00
173,36.402287,127.421538,84.244,126.4,-29.8,0.0,24.00
174,36.402287,127.421538,84.244,126.8,-29.8,0.0,24.00
175,36.402287,127.421539,84.244,126.8,-29.8,0.0,24.00
176,36.402287,127.421539,84.244,126.8,-29.8,0.0,24.00
177,36.402287,127.421539,84.244,127.3,-29.8,0.0,24.00
178,36.402288,127.421540,84.244,127.3,-29.8,0.0,24.00
179,36.402288,127.421540,84.244,127.3,-29.8,0.0,24.00
180,36.402288,127.421540,84.244,127.7,-29.8,0.0,24.00
181,36.402289,127.421541,84.244,127.7,-29.8,0.0,24.00
182,36.402289,127.421541,84.244,127.7,-29.8,0.0,24.00
183,36.402290,127.421541,84.244,128.1,-29.8,0.0,24.00
184,36.402290,127.421541,84.244,128.1,-29.8,0.0,24.00
185,36.402290,127.421541,84.244,128.1,-29.8,0.0,24.00
186,36.402291,127.421542,84.245,128.5,-29.8,0.0,24.00
187,36.402291,127.421542,84.245,128.5,-29.8,0.0,24.00
188,36.402291,127.421542,84.245,128.5,-29.8,0.0,24.00
189,36.402291,127.421543,84.245,128.9,-29.8,0.0,24.00
190,36.402291,127.421543,84.245,128.9,-29.8,0.0,24.00
191,36.402291,127.421543,84.245,128.9,-29.8,0.0,24.00
192,36.402292,127.421544,84.245,129.3,-29.8,0.0,24.00
193,36.402292,127.421544,84.245,129.3,-29.8,0.0,24.00
194,36.402292,127.421544,84.245,129.3,-29.8,0.0,24.00
195,36.402293,127.421544,84.245,129.7,-29.8,0.0,24.00
196,36.402293,127.421544,84.245,129.7,-29.8,0.0,24.00
197,36.402293,127.421544,84.245,129.7,-29.8,0.0,24.00
198,36.402294,127.421545,84.246,130.1,-29.8,0.0,24.00
199,36.402294,127.421545,84.246,130.1,-29.8,0.0,24.00
200,36.402294,127.421545,84.246,130.1,-29.8,0.0,24.00
201,36.402294,127.421546,84.246,130.5,-29.8,0.0,24.00
202,36.402294,127.421546,84.246,130.5,-29.8,0.0,24.00
203,36.402294,127.421546,84.246,130.5,-29.8,0.0,24.00
204,36.402294,127.421546,84.246,131.0,-29.8,0.0,24.00
205,36.402295,127.421547,84.247,131.0,-29.8,0.0,24.00
206,36.402295,127.421547,84.247,131.0,-29.8,0.0,24.00
207,36.402296,127.421548,84.247,131.4,-29.8,0.0,24.00
208,36.402296,127.421548,84.247,131.4,-29.8,0.0,24.00
209,36.402296,127.421548,84.247,131.4,-29.8,0.0,24.00
210,36.402296,127.421548,84.247,131.8,-29.8,0.0,24.00
211,36.402297,127.421549,84.247,131.8,-29.8,0.0,24.00
212,36.402297,127.421549,84.247,131.8,-29.8,0.0,24.00
213,36.402299,127.421544,84.248,132.2,-29.8,0.0,24.00
214,36.402299,127.421544,84.248,132.2,-29.8,0.0,24.00
215,36.402299,127.421544,84.248,132.2,-29.8,0.0,24.00
216,36.402300,127.421545,84.248,132.6,-29.8,0.0,24.00
217,36.402300,127.421545,84.248,132.6,-29.8,0.0,24.00
218,36.402300,127.421545,84.248,132.6,-29.8,0.0,24.00
219,36.402301,127.421546,84.248,133.0,-29.8,0.0,24.00
220,36.402301,127.421546,84.248,133.0,-29.8,0.0,24.00
221,36.402301,127.421546,84.248,133.0,-29.8,0.0,24.00
222,36.402301,127.421547,84.249,133.4,-29.8,0.0,24.00
223,36.402301,127.421547,84.249,133.4,-29.8,0.0,24.00
224,36.402301,127.421547,84.249,133.4,-29.8,0.0,24.00
225,36.402302,127.421548,84.249,133.8,-29.8,0.0,24.00
226,36.402302,127.421548,84.249,133.8,-29.8,0.0,24.00
227,36.402302,127.421548,84.249,133.8,-29.8,0.0,24.00
228,36.402303,127.421549,84.249,134.2,-29.8,0.0,24.00
229,36.402303,127.421549,84.249,134.2,-29.8,0.0,24.00
230,36.402303,127.421549,84.249,134.2,-29.8,0.0,24.00
231,36.402304,127.421550,84.249,134.7,-29.8,0.0,24.00
232,36.402304,127.421550,84.249,134.7,-29.8,0.0,24.00
233,36.402304,127.421550,84.249,134.7,-29.8,0.0,24.00
234,36.402304,127.421550,84.249,135.1,-29.8,0.0,24.00
235,36.402304,127.421550,84.249,135.1,-29.8,0.0,24.00
236,36.402304,127.421550,84.249,135.1,-29.8,0.0,24.00
237,36.402305,127.421551,84.249,135.5,-29.8,0.0,24.00
238,36.402305,127.421551,84.249,135.5,-29.8,0.0,24.00
239,36.402305,127.421551,84.249,135.5,-29.8,0.0,24.00
240,36.402305,127.421551,84.249,135.9,-29.8,0.0,24.00
241,36.402306,127.421552,84.250,135.9,-29.8,0.0,24.00
242,36.402306,127.421552,84.250,135.9,-29.8,0.0,24.00
243,36.402306,127.421553,84.249,136.4,-29.8,0.0,24.00
244,36.402306,127.421553,84.249,136.4,-29.8,0.0,24.00
245,36.402306,127.421553,84.249,136.4,-29.8,0.0,24.00
246,36.402307,127.421554,84.250,136.8,-29.8,0.0,24.00
247,36.402307,127.421554,84.250,136.8,-29.8,0.0,24.00
248,36.402307,127.421554,84.250,136.8,-29.8,0.0,24.00
249,36.402308,127.421555,84.250,137.3,-29.8,0.0,24.00
250,36.402308,127.421555,84.250,137.3,-29.8,0.0,24.00
251,36.402308,127.421555,84.250,137.3,-29.8,0.0,24.00
252,36.402309,127.421556,84.250,137.8,-29.8,0.0,24.00
253,36.402309,127.421556,84.250,137.8,-29.8,0.0,24.00
254,36.402309,127.421556,84.250,137.8,-29.8,0.0,24.00
255,36.402309,127.421557,84.250,138.4,-29.8,0.0,24.00
256,36.402309,127.421557,84.250,138.4,-29.8,0.0,24.00
257,36.402309,127.421557,84.250,138.4,-29.8,0.0,24.00
258,36.402309,127.421557,84.250,139.0,-29.8,0.0,24.00
259,36.402310,127.421558,84.251,139.0,-29.8,0.0,24.00
260,36.402310,127.421558,84.251,139.0,-29.8,0.0,24.00
261,36.402311,127.421559,84.251,139.6,-29.8,0.0,24.00
262,36.402311,127.421559,84.251,139.6,-29.8,0.0,24.00
263,36.402311,127.421559,84.251,139.6,-29.8,0.0,24.00
264,36.402312,127.421560,84.251,140.3,-29.8,0.0,24.00
265,36.402312,127.421560,84.251,140.3,-29.8,0.0,24.00
